10    14
0      德怀楼               德怀楼是位于中北大学一道门处的一座教学楼，楼前竖立着彭德怀老前辈的雕像。德怀楼也叫7号楼，有些课程需要在这里上课。
1      柏林园               柏林园位于中北大学最西边，与二龙山相连接；柏林园内有花草树木，有喷泉，在柏林园人们可以听鸟叫，中老年人吃过下午饭后可以来这里散散步，跳广场舞；学生们也可以在园内的石凳上安静地学习、看书。
2      铁路公园           铁路公园位于学校中部，二道门东侧，是新建成的，里面有铁道，有时候会有火车经过；闲暇的时候也可以和三两好友在铁道上漫步游玩。
3      中北酒店           中北酒店位于学校东南部，相当于一个宾馆，有10层楼，里面可住宿、用餐，学生、老师、旅客都可进入。
4      二龙山              中北大学依山傍水，校外有河流经过，校内与一座山相邻接，名叫二龙山，位于学校最西边，学生、老师、游客均可爬山，锻炼身体，登高望远；山上有长廊、瀑布，还有“中北大学”四个大字。
5      图书馆              中北大学图书馆是山西省最大的图书馆，位于中央大道，11号楼西侧，共有7层楼，还有地下室，里面收藏有大量的图书，图书馆外还有漂亮的喷泉，来往的学生都会在门口观赏几眼，特别美；图书馆是一个学习的好地方，同学们可以尽情地遨游在知识的海洋里。
6      行知广场           行知广场位于主楼南侧，广场面积大，可以举办一些大型的院校活动；晚上的行知广场特别热闹，人也很多，学生可在广场上练跳舞、练唱歌、吹口琴等。
7      游泳馆              游泳馆位于学校最北边，在游泳馆里面学生可以学习游泳，锻炼身体，放松情绪；这也是学生上游泳课的地方。
8      瑾瑜国际会议中心     瑾瑜国际会议中心位于学校最北边，在游泳馆西面，这里常开一些院级或者校级的重大会议，学校部分高层领导都会出席会议。
9   龙山餐厅           龙山餐厅位于学校东北面，全校最大、最豪华的餐厅，主要是供东区的学生教师用餐，餐厅里有丰富美味的各种佳肴，不但菜系丰富，而且美味至极，让人难忘；如果你来到了中北大学，必须要去龙山餐厅吃一顿饭，良心推荐！
0   1    250
0   2    300
0   3    500
1   4    350
4   5    900
5   6    50
2   3    200
3   6    280
2   6    150
7   8    400
5   8    250
8   9    500
6   9    800
3   9    1000
